Title,Field,Field1,Title1,Field2
543,"Parliamentary
                    Constituencies","<h2>Parliamentary
                    Constituencies</h2>",543,"Parliamentary
                    Constituencies"
543,"Parliamentary
                    Constituencies","<h2>Parliamentary
                    Constituencies</h2>",175,ANDHRA PRADESH
543,"Parliamentary
                    Constituencies","<h2>Parliamentary
                    Constituencies</h2>",147,ODISHA
543,"Parliamentary
                    Constituencies","<h2>Parliamentary
                    Constituencies</h2>",25,BYE ELECTIONS
175,ANDHRA PRADESH,<h2>Andhra Pradesh</h2>,543,"Parliamentary
                    Constituencies"
175,ANDHRA PRADESH,<h2>Andhra Pradesh</h2>,175,ANDHRA PRADESH
175,ANDHRA PRADESH,<h2>Andhra Pradesh</h2>,147,ODISHA
175,ANDHRA PRADESH,<h2>Andhra Pradesh</h2>,25,BYE ELECTIONS
147,ODISHA,<h2>Odisha</h2>,543,"Parliamentary
                    Constituencies"
147,ODISHA,<h2>Odisha</h2>,175,ANDHRA PRADESH
147,ODISHA,<h2>Odisha</h2>,147,ODISHA
147,ODISHA,<h2>Odisha</h2>,25,BYE ELECTIONS
25,BYE ELECTIONS,<h2>Bye Elections</h2>,543,"Parliamentary
                    Constituencies"
25,BYE ELECTIONS,<h2>Bye Elections</h2>,175,ANDHRA PRADESH
25,BYE ELECTIONS,<h2>Bye Elections</h2>,147,ODISHA
25,BYE ELECTIONS,<h2>Bye Elections</h2>,25,BYE ELECTIONS
